# STEP 3 — Per-node uncertainty: outcome=FAIL | frac_edge_moved=0.052 | median CI half-width=0.577
image_id,node_id,m_hat,m_lo,m_hi,CI_width,at_edge_before,at_edge_after
01_dr,0,0.2,,,,True,False
01_dr,1,3.8527592509263897,,,,False,False
01_dr,2,0.2,0.2,0.942207431793213,0.742207431793213,True,False
01_dr,3,0.2,0.2,3.335000000000001,3.1350000000000007,True,False
01_dr,4,0.2,,,,True,False
01_dr,5,0.2,0.2,4.0,3.8,True,False
01_dr,6,0.2,0.2,4.0,3.8,True,False
01_dr,7,0.2,0.2,0.761331889629364,0.561331889629364,True,False
01_dr,8,0.2,2.5039221849292517,3.9853297744505105,1.4814075895212588,True,True
01_dr,9,0.2,0.2,1.2331249999999996,1.0331249999999996,True,False
01_dr,10,1.9149876594543458,1.4002417612075808,2.881815211772919,1.4815734505653384,False,True
01_dr,11,2.6118373513221744,1.8000249719619752,4.0,2.1999750280380246,False,False
01_dr,12,3.892960510642472,2.373555662631989,4.0,1.626444337368011,False,False
01_dr,13,0.9161620140075684,0.5959268164634705,1.20779780626297,0.6118709897994995,False,True
01_dr,14,0.2,2.3767518162727366,4.0,1.6232481837272634,True,False
01_dr,15,3.9583503492962038,,,,False,False
01_dr,16,0.2,,,,True,False
01_dr,17,0.2,0.2,4.0,3.8,True,False
01_dr,18,2.614971078390272,2.403427124023437,4.0,1.596572875976563,False,False
01_dr,19,2.8105756759643548,1.9022446978092193,4.0,2.0977553021907807,False,False
01_dr,20,0.2,1.5203716075420384,4.0,2.4796283924579616,True,False
01_dr,21,0.5090589458550051,0.2,4.0,3.8,False,False
01_dr,22,1.9475317478179932,1.3407226181030278,3.192474994659422,1.8517523765563944,False,True
01_dr,23,1.3438511848449708,0.2546686959266663,2.8458587551116943,2.591190059185028,False,True
01_dr,24,0.2,,,,True,False
01_dr,25,0.2,,,,True,False
01_dr,26,0.2,3.012719392776489,4.0,0.9872806072235112,True,False
01_dr,27,0.2,2.5578113198280334,4.0,1.4421886801719666,True,False
01_dr,28,0.2,0.2,4.0,3.8,True,False
01_dr,29,0.2,0.2,3.546607513427735,3.3466075134277347,True,False
01_dr,30,4.0,0.2,4.0,3.8,True,False
01_dr,31,1.6842200756072998,1.3037269675731664,2.391630424261094,1.0879034566879275,False,True
01_dr,32,0.44123992919921873,0.2,1.1919580554962144,0.9919580554962144,False,False
01_dr,33,0.8562561035156251,0.2,1.7335628151893614,1.5335628151893614,False,False
01_dr,34,1.0519310474395753,0.8552328494191171,1.299724340736866,0.4444914913177488,False,True
01_dr,35,0.2,1.803272042274475,4.0,2.1967279577255248,True,False
01_dr,36,0.2,0.2,1.2354172468185427,1.0354172468185427,True,False
01_dr,37,4.0,0.2,4.0,3.8,True,False
01_dr,38,0.2,0.2,0.42253101944923416,0.22253101944923415,True,False
01_dr,39,0.212640380859375,0.2,1.2526647710800174,1.0526647710800174,False,False
01_dr,40,0.2,,,,True,False
01_dr,41,2.3044240951538093,1.4968501210212708,3.9402563863992692,2.443406265377998,False,True
01_dr,42,3.573847683523309,,,,False,False
01_dr,43,3.407836389541626,1.8147504448890688,4.0,2.185249555110931,False,False
01_dr,44,1.9827240467071539,1.3768729114532472,3.361599023342132,1.9847261118888846,False,True
01_dr,45,1.8036436796188355,1.2668469950556758,3.0774930916726584,1.8106460966169826,False,True
01_dr,46,0.7126747131347657,0.2,2.427848893404006,2.2278488934040057,False,False
01_dr,47,0.7192705512046813,0.44650537669658663,0.9751233103871345,0.5286179336905479,False,True
01_dr,48,0.2,3.070771601200104,4.0,0.9292283987998959,True,False
01_dr,49,1.8359176429122872,0.2,4.0,3.8,False,False
01_dr,50,2.1798381825087305,0.9350229263305663,4.0,3.064977073669434,False,False
01_dr,51,0.2,,,,True,False
01_dr,52,2.297265183925629,1.59294862896204,3.5144276417791844,1.9214790128171444,False,True
01_dr,53,0.2,,,,True,False
01_dr,54,0.2,,,,True,False
01_dr,55,0.2,0.2,4.0,3.8,True,False
01_dr,56,3.8897388295571114,,,,False,False
01_dr,57,0.2,3.041973263025284,4.0,0.9580267369747162,True,False
01_dr,58,0.2,,,,True,False
01_dr,59,0.2,1.9392799854278564,4.0,2.0607200145721434,True,False
01_dr,60,3.876096966343324,,,,False,False
01_dr,61,2.527954626083374,1.580995991230011,3.997546939849853,2.4165509486198418,False,True
01_dr,62,2.254682493209839,1.403550982475281,3.9162877142429346,2.512736731767654,False,True
01_g,0,2.825963926315308,1.8492960703372956,4.0,2.150703929662704,False,False
01_g,1,0.2,,,,True,False
01_g,2,0.2,,,,True,False
01_g,3,0.2,,,,True,False
01_g,4,0.7919851303100587,0.2,1.5629493832588197,1.3629493832588198,False,False
01_g,5,1.9519339519538745,1.9162405198812484,3.9903246517479425,2.074084131866694,False,True
01_g,6,0.2,,,,True,False
01_g,7,0.2,2.5779066443443304,4.0,1.4220933556556696,True,False
01_g,8,0.2,2.3973283916711807,3.9962603893131017,1.598931997641921,True,True
01_g,9,0.2602465629577637,0.2,0.7821313953399655,0.5821313953399654,False,False
01_g,10,3.5170897169273627,,,,False,False
01_g,11,1.1913910865783692,0.7113286375999451,2.034389315843583,1.3230606782436376,False,True
01_g,12,0.2,0.2,3.595230319965629,3.395230319965629,True,False
01_g,13,0.2,1.5794069290161135,4.0,2.4205930709838865,True,False
01_g,14,0.2,,,,True,False
01_g,15,0.7537396430969239,0.5682326316833497,0.9227789390087129,0.3545463073253632,False,True
01_g,16,0.2,0.2,3.7129837688803673,3.512983768880367,True,False
01_g,17,0.7354608297348022,0.4570125460624695,0.9872444963455199,0.5302319502830504,False,True
01_g,18,1.9376134157180789,1.3515838202834132,3.13938860848546,1.787804788202047,False,True
01_g,19,0.2,,,,True,False
01_g,20,0.392426061630249,0.2,0.6062736821174622,0.40627368211746223,False,False
01_g,21,0.751116120815277,0.6532833062112332,0.8701240506768229,0.21684074446558965,False,True
01_g,22,0.2,,,,True,False
01_g,23,1.248064422607422,0.2,2.8458440780639647,2.6458440780639645,False,False
01_g,24,0.2,0.2,1.4914680385589596,1.2914680385589596,True,False
01_g,25,0.2,,,,True,False
01_g,26,0.2,1.6619959449768067,4.0,2.3380040550231933,True,False
01_g,27,0.9480535626411439,0.7660479217767716,1.2278811320662497,0.4618332102894781,False,True
01_g,28,1.1665959358215332,0.4715214419364929,1.6868095779418946,1.2152881360054018,False,True
01_g,29,0.4942453622817994,0.21319151759147642,0.6918176317214968,0.4786261141300204,False,True
01_g,30,2.1219902038574228,0.2,4.0,3.8,False,False
01_g,31,3.879624133255289,,,,False,False
01_g,32,0.2,2.0164537143707277,4.0,1.9835462856292723,True,False
01_g,33,0.2,1.92331298828125,4.0,2.07668701171875,True,False
01_g,34,4.0,0.2,4.0,3.8,True,False
01_g,35,0.2,0.2,0.8998020887374878,0.6998020887374878,True,False
01_g,36,0.7563676953315734,0.6643846553564071,0.8848034992814064,0.22041884392499933,False,True
01_g,37,1.2140367746353147,0.8065843534469604,1.722280548214912,0.9156961947679515,False,True
01_g,38,2.6633965969085693,1.779245126247406,4.0,2.220754873752594,False,False
01_g,39,0.2,2.6276937723159794,4.0,1.3723062276840206,True,False
01_g,40,0.89797300696373,0.7619020153582097,1.0767419284582138,0.31483991310000414,False,True
01_g,41,0.2,0.2,0.2099574255943298,0.0099574255943298,True,False
01_g,42,0.2,0.2,0.26961169719696054,0.06961169719696053,True,False
01_g,43,0.4551260471343994,0.2,0.7634478986263274,0.5634478986263274,False,False
01_g,44,0.7875258445739747,0.6149689722061158,0.9274135565757753,0.3124445843696595,False,True
01_g,45,0.2,,,,True,False
01_g,46,2.769312107563019,1.7922442793846132,4.0,2.2077557206153866,False,False
01_g,47,0.2,2.1806381916999817,3.9304735338687897,1.749835342168808,True,True
01_g,48,2.434861373901368,1.5886402416229248,4.0,2.411359758377075,False,False
01_g,49,0.2,,,,True,False
01_g,50,0.2,,,,True,False
01_g,51,1.6627346973147021,1.884797787666321,4.0,2.115202212333679,False,False
01_g,52,0.6559483766555786,0.563305441439152,0.7503162556886673,0.18701081424951538,False,True
01_g,53,1.0554277181625369,0.7496008855104447,1.4117598462104797,0.662158960700035,False,True
01_g,54,1.637321698665619,1.2308537551760674,2.3581528003513808,1.1272990451753133,False,True
01_g,55,0.2,,,,True,False
01_g,56,0.6469346761703492,0.5679304271936417,0.7366869747638702,0.1687565475702285,False,True
01_g,57,0.2,3.5094727706909183,4.0,0.49052722930908166,True,False
01_g,58,0.6801519155502319,0.5991838696599008,0.7724027861654759,0.17321891650557508,False,True
01_g,59,0.2,,,,True,False
01_g,60,2.4412270903587334,1.5103143984079361,3.7774077440798286,2.2670933456718925,False,True
01_g,61,0.2,0.2,4.0,3.8,True,False
01_g,62,0.2,0.2,0.8304174327850343,0.6304174327850343,True,False
01_g,63,1.2375839233398436,0.960911460518837,1.6575381852686404,0.6966267247498034,False,True
01_g,64,1.192770910263062,0.9318035340309145,1.5455530726909632,0.6137495386600487,False,True
01_g,65,2.3103886842727657,1.5622997426986696,3.58347915649414,2.0211794137954704,False,True
01_g,66,0.6586772203445436,0.5720458668470382,0.7380705073475837,0.16602464050054555,False,True
01_g,67,0.2,0.2,4.0,3.8,True,False
01_g,68,0.2,2.5834433963894843,3.9912284085154526,1.4077850121259683,True,True
01_g,69,0.2,2.8375979328155516,4.0,1.1624020671844484,True,False
01_g,70,0.2,,,,True,False
01_g,71,0.6583739399909971,0.5731748217344284,0.7421176041662693,0.1689427824318409,False,True
01_g,72,0.9571332871913909,0.7002447599172592,1.2105267971754075,0.5102820372581482,False,True
01_g,73,0.2,0.701630506515503,3.8196417529880993,3.118011246472596,True,True
01_g,74,1.1524715423583984,0.8820421814918519,1.5701804566383362,0.6881382751464843,False,True
01_g,75,0.2,0.2100207996368408,3.8971849052608007,3.68716410562396,True,True
